13,13
Shneiderman B.,9,Plaisant C.,10,Pack M.L.,15,Guerra-Gomez J.,16,Spring N.,101,Wang T.D.,102,Marchand G.,394,Tanin E.,571,Beigel R.,936,Aris A.,945,Roseman D.,1009,Smith M.,1065,Mukherjee V.,1103,
Shneiderman B.,9,Plaisant C.,10,Pack M.L.,15,Guerra-Gomez J.,16,Spring N.,101,Wang T.D.,102,Marchand G.,394,Tanin E.,571,Beigel R.,936,Aris A.,945,Roseman D.,1009,Smith M.,1065,Mukherjee V.,1103,
0,2,1,1,1,1,1,1,1,1,1,1,1,
2,0,1,1,1,1,1,0,0,0,1,1,1,
1,1,0,1,0,0,0,0,0,0,0,0,0,
1,1,1,0,0,0,0,0,0,0,0,0,0,
1,1,0,0,0,1,1,0,0,0,1,1,1,
1,1,0,0,1,0,1,0,0,0,1,1,1,
1,1,0,0,1,1,0,0,0,0,1,1,1,
1,0,0,0,0,0,0,0,1,0,0,0,0,
1,0,0,0,0,0,0,1,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,0,0,1,1,1,0,0,0,0,1,1,
1,1,0,0,1,1,1,0,0,0,1,0,1,
1,1,0,0,1,1,1,0,0,0,1,1,0,
26,26
Tuan Nhon Dang,53,Selassie D.,104,Heller B.,105,Bernstein M.S.,149,Demiralp C.,150,Olston C.,234,Chi E.H.,382,Ogievetsky V.,463,Bostock M.,464,Kay M.,472,Kong N.,493,Agrawala M.,494,Mackinlay J.,500,Howe B.,501,Wongsuphasawat K.,502,Moritz D.,503,Russell R.,586,Hoffswell J.,587,Satyanarayan A.,589,Boyd D.,612,Wilkinson L.,725,Anand A.,800,Segel E.,867,Heer J.,878,Woodruff A.,916,Card S.K.,1173,
Tuan Nhon Dang,53,Selassie D.,104,Heller B.,105,Bernstein M.S.,149,Demiralp C.,150,Olston C.,234,Chi E.H.,382,Ogievetsky V.,463,Bostock M.,464,Kay M.,472,Kong N.,493,Agrawala M.,494,Mackinlay J.,500,Howe B.,501,Wongsuphasawat K.,502,Moritz D.,503,Russell R.,586,Hoffswell J.,587,Satyanarayan A.,589,Boyd D.,612,Wilkinson L.,725,Anand A.,800,Segel E.,867,Heer J.,878,Woodruff A.,916,Card S.K.,1173,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,1,1,1,1,0,0,1,3,1,1,5,2,1,1,1,1,1,1,1,0,1,1,0,0,0,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
