NodeId	NodeName	GroupNumber
1	RPN1	1
2	MYC	1
3	SMARCA4	1
4	FUS	1
5	FIP1L1	1
6	FGFR2	1
7	NF1	1
8	ERBB2	1
9	DNM2	1
10	CTNNB1	1
11	SH3GL1	1
12	MED12	1
13	CIC	1
14	MYH9	1
15	MKL1	1
16	MAP2K2	1
17	GNA11	1
18	EWSR1	1
19	CARS	1
20	CREBBP	1
21	TP53	1
22	MLLT1	1
23	DAXX	1
24	CNOT3	1
25	AXIN1	1
26	AKT2	1
27	NUP214	1
28	MYD88	1
29	ABL1	1
30	NFKB2	1
31	SMARCB1	1
32	YWHAE	1
33	TERT	1
34	NFIB	1
35	PDGFB	1
36	STK11	1
37	NUMA1	1
38	PICALM	2
39	RAD21	2
40	LMO1	2
41	FANCC	2
42	CDKN2A	2
43	MYCN	2
44	CCND3	2
45	USP6	2
46	MUTYH	2
47	MSH6	2
48	FANCG	2
49	FANCE	2
50	CHEK2	2
51	BRD3	2
52	RBM15	2
53	HMGA2	2
54	WHSC1	2
55	SS18L1	2
56	SFRS3	2
57	RECQL4	2
58	MSH2	2
59	HIST1H4I	2
60	FANCA	2
61	EZH2	2
62	CDKN2C	2
63	CCNE1	2
64	CBFB	2
65	BUB1B	2
66	BRIP1	2
67	BRCA2	2
68	BLM	2
69	ETV4	2
70	SUZ12	2
71	NPM1	2
72	NACA	2
73	ATIC	2
74	UBR5	2
75	RANBP17	2
76	U2AF1	2
77	HOXD13	2
78	NT5C2	2
79	XPO1	2
80	FBXO11	2
81	KRAS	2
82	SLC34A2	3
83	NTRK3	3
84	LIFR	3
85	LMO2	3
86	HLF	3
87	JAK2	3
88	KIT	3
89	FBXW7	3
90	PER1	3
91	CSF3R	3
92	TMPRSS2	3
93	RPL5	3
94	PPARG	3
95	XPC	3
96	JAK1	4
97	MAF	4
98	HERPUD1	4
99	MUC1	4
100	MAFB	4
101	FCGR2B	4
102	PIK3R1	4
103	ETV1	4
104	KLF4	4
105	FSTL3	4
106	PDGFRB	4
107	MN1	4
108	MITF	4
109	GAS7	4
110	ELN	4
111	COL1A1	4
112	CDH11	4
113	ERG	4
114	CBLB	4
115	CREB3L1	4
116	OMD	4
117	ARID1A	4
118	ARHGEF12	4
119	TAL1	4
120	PRDM16	4
121	PDGFRA	4
122	NR4A3	4
123	RUNX1	4
124	SF3B1	5
125	MTCP1	5
126	FUBP1	5
127	SDHB	5
128	SET	5
129	MDM4	5
130	DDX6	5
131	CASP8	5
132	FH	5
133	CALR	5
134	NF2	5
135	EPS15	5
136	BCL10	5
137	HRAS	5
138	ERCC2	5
139	CEBPA	5
140	ASPSCR1	5
141	THRAP3	5
142	RARA	5
143	SDHD	5
144	TPR	5
145	H3F3A	5
146	SRGAP3	5
147	HMGA1	6
148	NRAS	6
149	CREB3L2	6
150	NOTCH1	6
151	CDK6	6
152	TPM4	6
153	CCNB1IP1	6
154	ELK4	6
155	ETV6	6
156	BCL11A	6
157	HOXD11	6
158	MSN	6
159	ABI1	6
160	WWTR1	6
161	PIM1	6
162	ETV5	6
163	TAF15	6
164	SYK	7
165	LCP1	7
166	MALT1	7
167	FNBP1	7
168	CYLD	7
169	TNFAIP3	7
170	SOCS1	7
171	PRDM1	7
172	FLI1	7
173	PTPRC	7
174	PRF1	7
175	POU2AF1	7
176	LYL1	7
177	LCK	7
178	JAK3	7
179	ITK	7
180	IRF4	7
181	IL7R	7
182	IL21R	7
183	IKZF1	7
184	CIITA	7
185	CD79B	7
186	CD79A	7
187	CCND2	7
188	BIRC3	7
189	BCL11B	7
190	CD74	7
191	ALDH2	7
192	TNFRSF14	7
193	WAS	7
194	TNFRSF17	7
195	GPC3	8
196	RAP1GDS1	8
197	MAX	8
198	FLT3	8
199	LHFP	8
200	DDX5	8
201	FAM46C	8
202	RPL22	8
203	CHIC2	8
204	CCND1	8
205	GOLGA5	8
206	CCDC6	8
207	CACNA1D	8
208	GATA2	8
209	CBFA2T3	8
210	BCOR	8
211	SETBP1	8
212	MYB	8
213	H3F3B	8
214	GATA3	8
215	COX6C	8
216	BCL2	8
217	LASP1	8
218	MLLT3	8
219	MLH1	8
220	APC	8
221	IL6ST	8
222	AKAP9	8
223	ZNF331	8
224	WHSC1L1	8
225	RB1	8
226	XPA	8
227	NCOA1	8
228	TRIP11	8
229	DICER1	8
230	RET	8
231	KTN1	8
232	PPP2R1A	8
233	MYH11	8
234	MLLT10	9
235	HNRNPA2B1	9
236	TCF3	9
237	GNAS	9
238	PAX5	9
239	ELF4	9
240	NDRG1	9
241	MET	9
242	EGFR	9
243	CLTC	9
244	CHCHD7	9
245	PRCC	9
246	CDC73	9
247	GMPS	9
248	PRKAR1A	9
249	NCOA2	9
250	ATF1	9
251	KIF5B	9
252	PLAG1	9
253	TRRAP	9
254	TPM3	9
255	TCEA1	9
256	ZNF384	9
257	NCOA4	9
258	PBRM1	10
259	SETD2	10
260	LPP	10
261	HIP1	10
262	EP300	10
263	BRD4	10
264	BCL7A	10
265	MYST4	10
266	STAG2	10
267	CREB1	10
268	ATRX	10
269	PIK3CA	10
270	MDM2	10
271	NSD1	10
272	PCM1	10
273	STAT3	11
274	SMARCE1	11
275	SSX2	11
276	SS18	11
277	NUP98	11
278	DDB2	11
279	EIF4A2	11
280	PBX1	11
281	BCL9	11
282	PCSK7	11
283	CRTC3	11
284	BCR	11
285	BAP1	11
286	TFE3	11
287	MAP2K1	11
288	RALGDS	11
289	ATP2B3	12
290	NTRK1	12
291	CDK4	12
